Date,Product ID,Product Name / Category,Price,Quantity Sold,Revenue
'2024-01-01',P3000,Laptop / Electronics,899.99,5,"$6,299.93"
'2024-01-01',P3001,Smartphone / Electronics,599.99,7,"$4,199.93"
'2024-01-01',P3002,Tablet / Electronics,299.99,10,"$2,999.90"
2024-01-01,P3003,Headphones / Electronics,99.99,30,"$2,999.70"
2024-01-01,P3004,Smart Watch / Electronics,199.99,15,"$2,999.85"
2024-01-02,P3005,Desk Chair / Furniture,149.99,3,$449.97
2024-01-02,P3006,Bookshelf / Furniture,79.99,2,$159.98
2024-01-02,P3007,Dining Table / Furniture,399.99,1,$399.99
2024-01-02,P3008,Sofa / Furniture,599.99,1,$599.99
2024-01-02,P3009,Office Desk / Furniture,249.99,2,$499.98
2024-01-03,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-03,,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-03,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-03,P3004,Smart Watch / Elx,199.99,10,"$1,999.90"
2024-01-04,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-04,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-04,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-04,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-05,P3009,       Office Desk / Furniture,249.99,4,$999.96
2024-01-05,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-05,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-05,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-06,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-06,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-06,P3006,Bookshelf / Furniture,79.99,3,$239.97
'2024-01-06',P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-07,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-07,,Office Desk / Furniture,249.99,4,$999.96
2024-01-07,P3000, Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-07,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-08,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-08,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-08,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-08,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-09,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-09,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-09,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-09,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-01-10,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-10,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-10,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-10,P3003,Headphones / Elx,99.99,20,"$1,999.80"
2024-01-11,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-11,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-11,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-11,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-11,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-12,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-01-12,P3000,Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-12,P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-12,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-12,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-12,,Laptop / Electronics,899.99,7,"$6,299.93"
2024-01-13,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-13,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-13,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-13,P3008,Sofa / Furniture,599.99,2,"$1,199.98"
2024-01-14,P3009,Office Desk / Furniture,249.99,4,$999.96
'2024-01-14',P3000,Laptop / Electronics,899.99,7,"$6,299.93"
'2024-01-14',P3001,Smartphone / Electronics,599.99,5,"$2,999.95"
2024-01-14,P3002,Tablet / Electronics,299.99,8,"$2,399.92"
2024-01-15,P3003,Headphones / Electronics,99.99,20,"$1,999.80"
2024-01-15,P3004,Smart Watch / Electronics,199.99,10,"$1,999.90"
2024-01-15,P3005,Desk Chair / Furniture,149.99,4,$599.96
2024-01-15,P3006,Bookshelf / Furniture,79.99,3,$239.97
2024-01-16,P3007,Dining Table / Furniture,399.99,2,$799.98
2024-01-16,P3008,Sofa / Furniture,599.99,2,"$1,999.90"
2024-01-16,P3009,Office Desk / Furniture,249.99,4,$999.96
2024-01-16,P3000,Laptop / Electronics,899.99,7,$239.97
2024-01-17,P3001,Smartphone / Electronics,599.99,5,"$1,199.98"
